groupId,artifactId,mcrTags
asm,asm-debug-all,"bytecode,debug"
org.apache.nifi,nifi-hbase_2-client-service,"database,service,apache,client,hbase"
com.github.waffle,waffle-shiro,"github,security"
org.wso2.carbon.automation,org.wso2.carbon.automation.api,api
org.apache.pinot,pinot-common,apache
io.quarkus,quarkus-panacheql,io
org.jboss.osgi.metadata,jbosgi-metadata,"jboss,metadata,osgi"
io.nuls.tools-module,tools,"io,tools,module"
com.github.dapeng-soa,dapeng-transaction-api,"github,soa,service,api,transaction"
org.jboss.arquillian.container,arquillian-jetty-embedded-9,"embedded,server,container,webserver,jboss,jetty"
org.quartz-scheduler.wso2,quartz,scheduling
io.opentracing.contrib,opentracing-thrift,"serialization,thrift,io,tracing,protocol"
org.springframework.cloud,spring-cloud-dataflow-core-dsl,"spring,cloud,dsl"
org.dashbuilder,dashbuilder-cms-client,client
org.apache.nifi,nifi-kite-processors,"apache,processor"
org.kie.kogito,monitoring-elastic-springboot-addon,"monitoring,elastic"
io.quarkus,quarkus-oidc-common,io
ddf.catalog.core,versioning-api,api
org.apache.tomee,openejb-provisionning,"ejb,apache"
org.sakaiproject.sitemanage,sakai-site-manage-api,api
io.bdrc,mcouch-ektorp,io
com.mycila.com.google.inject,guice,"google,dependency-injection"
com.google.cloud,spring-cloud-gcp-starter-cloudfoundry,"google,spring,cloud,starter"
io.vlingo.xoom,xoom-auth,"authentication,io"
org.wildfly.core,wildfly-subsystem-test-framework,"framework,testing"
org.apache.aries.cdi,org.apache.aries.cdi.weld,apache
com.yomahub,tlog-gateway,gateway
org.apache.unomi,unomi-web-tracker-wab,"web,apache,tracking"
ro.pippo,pippo-controller,controller
org.xwiki.platform,xwiki-platform-store-merge-default,platform
org.apache.flink,flink-shaded-guava,apache
com.microsoft.azure,azure-keyvault-cryptography,"cryptography,azure"
org.apache.maven,maven-project-builder,"build,builder,build-system,maven,apache"
org.openhab.addons.bundles,org.openhab.binding.rfxcom,"binding,bundle"
org.jenkins-ci.plugins,configurationslicing,"plugin,jenkins"
org.apache.pulsar,pulsar-io-cassandra,"database,cassandra,apache,io"
com.oracle.oci.sdk,oci-java-sdk-addons-apache,"sdk,apache"
io.debezium,debezium-server-eventhubs,"server,io"
org.apache.camel.quarkus,camel-quarkus-azure-storage-datalake,"azure,apache,storage,camel"
org.apache.camel.quarkus,camel-quarkus-weka,"apache,machine-learning,camel"
com.google.code.simple-spring-memcached,spymemcached,"google,spring,memcached"
org.apache.xmlgraphics,batik-svgpp,"svg,apache,graphics"
com.github.braisdom,mangosdk-spi,"github,interface"
io.quarkus,quarkus-test-oidc-server,"server,testing,io"
net.kyori,adventure-platform-bukkit,platform
org.apache.deltaspike.modules,deltaspike-partial-bean-module-api,"module,beans,apache,api"
com.spotify,zoltar-api,api
io.nuls.contract-module,contract-base,"module,io"
org.camunda.spin,camunda-spin-dataformat-json-jackson,json
io.quarkus,quarkus-qute,io
org.jboss.arquillian.container,arquillian-jetty-embedded-7,"embedded,server,container,webserver,jboss,jetty"
org.neo4j.springframework.data,spring-data-neo4j-rx-spring-boot-starter,"database,data,spring,graph,neo4j,starter"
org.opendaylight.controller,sal-remoterpc-connector,"connector,controller"
org.apache.apex,apex-shaded-ning19,apache
io.micronaut,micronaut-inject,"io,dependency-injection"
org.openimaj,image-local-features,image
org.wso2.carbon.identity.local.auth.requestpath.basic,org.wso2.carbon.identity.application.authenticator.requestpath.basicauth.server.feature,"server,authentication,identity"
com.google.code.cli-parser,cli,"parser,google,command-line,cli"
org.eclipse.ditto,ditto-internal-utils-aggregator,"eclipse,aggregation"
org.eclipse.rap,org.eclipse.rap.rwt,eclipse
