repositoryName,mcrTags
xwiki/xwiki-platform,[platform]
apache/camel-quarkus,"[apache,azure,camel,machine-learning,storage]"
alibaba/DataX,"[google,memcached,spring]"
GoogleCloudPlatform/spring-cloud-gcp,"[cloud,google,spring,starter]"
apache/nifi,"[apache,client,database,hbase,processor,service]"
keycloak/keycloak,"[framework,testing]"
mcMMO-Dev/mcMMO,[platform]
oracle/helidon,"[dependency-injection,io]"
wso2/micro-integrator,"[api,scheduling]"
pac4j/pac4j,[io]
apache/hop,"[apache,eclipse]"
opentracing-contrib/java-specialagent,"[io,protocol,serialization,thrift,tracing]"
Waffle/waffle,"[github,security]"
INRIA/spoon,[io]
apache/unomi,"[apache,tracking,web]"
ops4j/org.ops4j.pax.web,[apache]
nuls-io/nuls-v1,"[io,module,tools]"
opendaylight/controller,"[connector,controller]"
apache/xmlgraphics-batik,"[apache,graphics,svg]"
apache/flink,[apache]
PGMDev/PGM,[platform]
dromara/TLog,[gateway]
apache/deltaspike,"[apache,api,beans,module]"
siddhi-io/siddhi,[scheduling]
openimaj/openimaj,[image]
apache/archiva,"[cli,command-line,google,parser]"
braisdom/ObjectiveSql,"[github,interface]"
apache/pinot,[apache]
GoogleCloudPlatform/java-docs-samples,"[dependency-injection,io]"
allwefantasy/ServiceFramework,"[dependency-injection,google]"
DTStack/flinkx,[apache]
vlingo/xoom-examples,"[authentication,io]"
weld/core,"[container,embedded,jboss,jetty,server,webserver]"
sakaiproject/sakai,[api]
trinodb/trino,[apache]
eclipse/ditto,"[aggregation,eclipse]"
kiegroup/kogito-runtimes,"[elastic,monitoring]"
SonarSource/sonar-scanner-jenkins,"[jenkins,plugin]"
DiscordSRV/DiscordSRV,[platform]
dapeng-soa/dapeng-soa,"[api,github,service,soa,transaction]"
AddstarMC/Prism-Bukkit,[platform]
spotify/zoltar,[api]
debezium/debezium,"[io,server]"
HotswapProjects/HotswapAgent,"[apache,api,beans,module]"
quarkusio/quarkus,"[io,server,testing]"
wso2/product-is,"[authentication,identity,server]"
wso2/product-ei,"[api,scheduling]"
goldmansachs/obevo,"[cli,command-line,google,parser]"
oracle/oci-java-sdk,"[apache,sdk]"
jbosstm/narayana,"[jboss,metadata,osgi]"
JorelAli/CommandAPI,[platform]
resteasy/resteasy,"[container,embedded,jboss,jetty,server,webserver]"
dashbuilder/dashbuilder,[client]
apache/tomee,"[apache,ejb]"
apache/maven,"[apache,build,build-system,builder,maven]"
camelinaction/camelinaction2,"[container,embedded,jboss,jetty,server,webserver]"
ModeShape/modeshape,"[framework,testing]"
camunda-consulting/code,[json]
Azure/azure-sdk-for-java,"[azure,cryptography]"
spring-cloud/spring-cloud-dataflow,"[cloud,dsl,spring]"
BetonQuest/BetonQuest,[platform]
thinkaurelius/titan,"[bytecode,debug]"
bergerhealer/BKCommonLib,[platform]
openhab/openhab-addons,"[binding,bundle]"
codice/ddf,[api]
pippo-java/pippo,[controller]
OneBusAway/onebusaway-application-modules,"[google,memcached,spring]"
apache/ignite,"[google,memcached,spring]"
apache/apex-malhar,[apache]
jhipster/jhipster,"[data,database,graph,neo4j,spring,starter]"
apache/pulsar,"[apache,cassandra,database,io]"
hantsy/spring-reactive-sample,"[data,database,graph,neo4j,spring,starter]"
apache/apex-core,[apache]
database-rider/database-rider,"[dependency-injection,io]"
wildfly/wildfly-core,"[framework,testing]"
gridgain/gridgain-old,"[google,memcached,spring]"
